Query,Answer,Label
Can I change my course after admission?,"Yes, the institute provides transport facilities.",0
What is the last date to apply?,The syllabus is available on the official website.,0
When does the course start?,"Yes, scholarships and fee concessions are offered.",0
When does the course start?,"Yes, online classes are available.",5
When does the course start?,"Yes, there is an active student council.",5
What courses are offered in BSCS?,Candidates must have completed 12th grade.,2
Can I change my course after admission?,"Yes, there are part-time job opportunities available.",1
What is the duration of the course?,The syllabus is available on the official website.,3
How can I contact the admissions office?,You can contact the admissions office via email.,0
When does the course start?,"No, course changes are not allowed after admission.",4
Is there a student council?,"Yes, scholarships and fee concessions are offered.",1
Can I change my course after admission?,Candidates must have completed 12th grade.,6
What is the last date to apply?,"Yes, there are part-time job opportunities available.",3
What is the last date to apply?,"Yes, there is an entrance exam on 30/05/2024.",2
What are the class timings?,"Yes, there is an active student council.",2
What documents are required?,"Yes, the institute provides transport facilities.",5
Are there any fee concessions available?,"Yes, admissions are open from 01/01/2024.",4
How can I contact the admissions office?,Candidates must have completed 12th grade.,5
What are the hostel facilities like?,The average fee is $5000 per year.,1
When does the course start?,Candidates must have completed 12th grade.,4
What are the class timings?,"Yes, admissions are open from 01/01/2024.",5
Is there transport available for students?,The syllabus is available on the official website.,6
What are the class timings?,The hostel has single and shared accommodations.,5
Where can I find the syllabus?,The course duration is 4 years.,3
What are the class timings?,There are 5 classes per week for each subject.,0
Are admissions open?,"Yes, scholarships and fee concessions are offered.",1
Are there any fee concessions available?,"Yes, scholarships and fee concessions are offered.",1
What is the duration of the course?,There are 5 classes per week for each subject.,5
What are the hostel facilities like?,There are 5 classes per week for each subject.,6
Where can I find the syllabus?,The syllabus is available on the official website.,3
Is there a student council?,"12th grade mark sheet, ID proof, and photos are required.",6
How can I contact the admissions office?,"Yes, there is an active student council.",5
What is the duration of the course?,"No, course changes are not allowed after admission.",3
Are online classes available?,There are 5 classes per week for each subject.,1
Are admissions open?,Candidates must have completed 12th grade.,2
When does the course start?,"Yes, the institute provides transport facilities.",6
Is there an entrance exam?,"Yes, online classes are available.",1
What are the eligibility criteria?,The course duration is 4 years.,0
Can I change my course after admission?,"Yes, admissions are open from 01/01/2024.",4
What documents are required?,"Yes, there is an active student council.",6
Where can I find the syllabus?,Candidates must have completed 12th grade.,3
What are the eligibility criteria?,"No, course changes are not allowed after admission.",1
Are online classes available?,The average fee is $5000 per year.,0
What are the hostel facilities like?,You can contact the admissions office via email.,6
What courses are offered in BSCS?,"12th grade mark sheet, ID proof, and photos are required.",4
Are online classes available?,"Yes, the institute provides transport facilities.",5
What documents are required?,"No, course changes are not allowed after admission.",0
When does the course start?,The last date to apply is 15/05/2024.,1
Are admissions open?,"12th grade mark sheet, ID proof, and photos are required.",2
What are the eligibility criteria?,"Yes, there are part-time job opportunities available.",5
What are the eligibility criteria?,"Courses include Data Structures, Algorithms, etc.",4
How many classes are there each week?,There are 5 classes per week for each subject.,0
How can I contact the admissions office?,The course duration is 4 years.,5
What is the last date to apply?,"Yes, the institute provides transport facilities.",0
Where can I find the syllabus?,"Yes, admissions are open from 01/01/2024.",5
Are admissions open?,The last date to apply is 15/05/2024.,1
What are the hostel facilities like?,You can contact the admissions office via email.,6
What is the duration of the course?,"No, course changes are not allowed after admission.",4
What are the hostel facilities like?,"Yes, there is an active student council.",2
What is the duration of the course?,"No, course changes are not allowed after admission.",5
